ts,Mbps
1, 0
2, 0
3, 1008
4, 1007
5, 1009
6, 1009
7, 1010
8, 1004
9, 1005
10, 1008
11, 1010
12, 1010
13, 1015
14, 1012
15, 1013
16, 1014
17, 1004
18, 1008
19, 999
20, 1008
21, 1007
22, 1011
23, 1009
24, 1010
25, 1011
26, 1008
27, 1005
28, 1004
29, 1001
30, 1008
31, 1004
32, 1002
33, 1003
34, 1006
35, 1003
36, 1005
37, 1007
38, 1011
39, 1009
40, 1000
41, 1012
42, 1009
43, 1004
44, 1012
45, 1011
46, 1011
47, 1006
48, 1008
49, 1022
50, 998
51, 1010
52, 1012
53, 1009
54, 1005
55, 1011
56, 1001
57, 1002
58, 1014
59, 1006
60, 1001
61, 1008
62, 38
63, 0
64, 0
