ts,Mbps
1, 0
2, 0
3, 9257
4, 9251
5, 9251
6, 9251
7, 9252
8, 9252
9, 9250
10, 9157
11, 9251
12, 9250
13, 9250
14, 9251
15, 9251
16, 9251
17, 9251
18, 9250
19, 9251
20, 9158
21, 9250
22, 9249
23, 9250
24, 9250
25, 9250
26, 9250
27, 9251
28, 9251
29, 9251
30, 9250
31, 9157
32, 9250
33, 9250
34, 9251
35, 9250
36, 9251
37, 9251
38, 9250
39, 9250
40, 9251
41, 9251
42, 9158
43, 9250
44, 9249
45, 9251
46, 9250
47, 9250
48, 9250
49, 9251
50, 9251
51, 9251
52, 9251
53, 9158
54, 9251
55, 9250
56, 9250
57, 9250
58, 9250
59, 9250
60, 9251
61, 9250
62, 462
63, 0
64, 0
