ts,Mbps
1, 0
2, 0
3, 154
4, 213
5, 211
6, 212
7, 212
8, 212
9, 211
10, 211
11, 211
12, 210
13, 211
14, 213
15, 212
16, 211
17, 209
18, 211
19, 211
20, 210
21, 210
22, 211
23, 211
24, 211
25, 211
26, 211
27, 211
28, 211
29, 211
30, 211
31, 210
32, 211
33, 211
34, 211
35, 211
36, 208
37, 211
38, 210
39, 211
40, 210
41, 210
42, 211
43, 211
44, 211
45, 210
46, 211
47, 210
48, 211
49, 210
50, 210
51, 210
52, 211
53, 210
54, 211
55, 211
56, 208
57, 211
58, 211
59, 211
60, 210
61, 211
62, 17
63, 0
64, 0
