ts,Mbps
1, 0
2, 0
3, 401
4, 406
5, 410
6, 413
7, 406
8, 409
9, 410
10, 408
11, 403
12, 414
13, 414
14, 412
15, 411
16, 404
17, 408
18, 403
19, 413
20, 407
21, 406
22, 408
23, 406
24, 407
25, 412
26, 411
27, 414
28, 404
29, 406
30, 409
31, 409
32, 406
33, 409
34, 407
35, 412
36, 408
37, 409
38, 413
39, 409
40, 408
41, 410
42, 415
43, 402
44, 402
45, 406
46, 404
47, 406
48, 402
49, 405
50, 394
51, 406
52, 401
53, 408
54, 403
55, 404
56, 397
57, 398
58, 406
59, 406
60, 402
61, 410
62, 21
63, 0
64, 0
