ts,Mbps
1, 0
2, 0
3, 9961
4, 9954
5, 9954
6, 9954
7, 9955
8, 9955
9, 9954
10, 9852
11, 9953
12, 9953
13, 9953
14, 9953
15, 9952
16, 9953
17, 9953
18, 9953
19, 9953
20, 9953
21, 9852
22, 9953
23, 9954
24, 9954
25, 9953
26, 9953
27, 9953
28, 9955
29, 9954
30, 9953
31, 9854
32, 9953
33, 9953
34, 9953
35, 9953
36, 9953
37, 9952
38, 9954
39, 9953
40, 9953
41, 9952
42, 9854
43, 9953
44, 9953
45, 9951
46, 9953
47, 9953
48, 9953
49, 9953
50, 9953
51, 9953
52, 9953
53, 9853
54, 9954
55, 9954
56, 9953
57, 9953
58, 9954
59, 9952
60, 9953
61, 9954
62, 497
63, 0
64, 0
