ts,Mbps
1, 0
2, 0
3, 1142
4, 1113
5, 1116
6, 3375
7, 4025
8, 4006
9, 4009
10, 4028
11, 4039
12, 4038
13, 4044
14, 4044
15, 4045
16, 4044
17, 4044
18, 4003
19, 4009
20, 4016
21, 4027
22, 4028
23, 4030
24, 4027
25, 4036
26, 3999
27, 4002
28, 4010
29, 4010
30, 4013
31, 4018
32, 3998
33, 3994
34, 4004
35, 4007
36, 3992
37, 4005
38, 3972
39, 4008
40, 4006
41, 3996
42, 4006
43, 4011
44, 4011
45, 4008
46, 4003
47, 4013
48, 4020
49, 3983
50, 4004
51, 4007
52, 4011
53, 4010
54, 4018
55, 4017
56, 3980
57, 4022
58, 4004
59, 4009
60, 4008
61, 4005
62, 128
63, 0
64, 0
