reading from file: example.pcap
pktId, hopId, ingressTs, egressTs, delta
0, 0, 84, 18153869532, 18153869810, 278
0, 1, 84, 18159716499, 18159716733, 234
0, 2, 84, 18167245888, 18167246175, 287
1, 0, 84, 19155603856, 19155604116, 260
1, 1, 84, 19159731809, 19159732041, 232
1, 2, 84, 19167242040, 19167242328, 288
2, 0, 84, 20157554245, 20157554565, 320
2, 1, 84, 20159753771, 20159754120, 349
2, 2, 84, 20167274173, 20167274455, 282
3, 0, 84, 21159551565, 21159551824, 259
3, 1, 84, 21159765665, 21159766010, 345
3, 2, 84, 21167304608, 21167304888, 280
4, 0, 84, 22160654391, 22160654717, 326
4, 1, 84, 22167788602, 22167788925, 323
4, 2, 84, 22175321390, 22175321647, 257
5, 0, 84, 23162673646, 23162673904, 258
5, 1, 84, 23167806596, 23167806919, 323
5, 2, 84, 23175327309, 23175327565, 256
6, 0, 84, 24164706972, 24164707281, 309
6, 1, 84, 24167819742, 24167820062, 320
6, 2, 84, 24175346772, 24175347027, 255
7, 0, 84, 25166642815, 25166643071, 256
7, 1, 84, 25167852635, 25167852951, 316
7, 2, 84, 25175369214, 25175369462, 248
8, 0, 84, 26167727231, 26167727561, 330
8, 1, 84, 26167841747, 26167842065, 318
8, 2, 84, 26175389744, 26175389987, 243
9, 0, 84, 27169771022, 27169771278, 256
9, 1, 84, 27175879415, 27175879704, 289
9, 2, 84, 27183400288, 27183400634, 346
